steel grade;maxCharges;combinable
K100;7;1
K110;7;0
K120;0;0
K130;7;0
K140;7;0
K170;5;0
K200;7;0
K210;7;0
K220;7;0
K270;5;0
K320;7;0
K340;7;0
K350;7;0
K360;7;0
K370;7;0
K380;7;0
K390;7;0
K440;7;1
K450;7;0
K460;8;1
K570;7;1
K580;7;1
K600;0;1
K710;5;0
K820;7;0
KB30;7;0
KK50;5;1
KK60;0;1
KK70;5;0
KK80;5;0
KM20;7;0
KM30;7;0
KM40;7;0
KM50;7;0
KM60;6;1
KM70;7;0
KM80;6;0
KN10;7;1
KN20;7;0
KN30;7;0
KN40;7;0
KN50;7;0
KN70;7;0
KR50;0;0
KT10;7;0
KT20;5;1
KT30;6;1
KT50;7;0
KT60;7;1
KT70;6;0
L460;0;1
L500;0;1
L600;0;1
L610;5;1
L620;6;1
L630;6;1
L650;6;1
L660;0;1
L740;5;1
L760;5;1
L770;0;1
L810;4;1
L910;3;1
L920;3;1
L950;3;1
L960;0;1
L970;0;1
LK10;5;1
LK20;4;1
LK30;5;1
LK40;5;1
LK50;5;1
LK60;5;1
LK70;4;1
LK90;0;0
LM10;0;1
LM40;6;1
LT40;5;1
LT60;0;1
LT70;5;1
LT80;6;1
N710;7;0
NB50;8;1
NB60;8;0
T210;7;0
T220;7;0
T230;7;0
T250;7;0
T260;6;1
T690;0;0
TB10;0;0
TB30;8;0
TB40;8;0
TB50;8;0
TB60;8;1
TB70;8;1
TB80;8;1
