steel grade;weight;forbidden;mandatory;cost0;cost1;cost2;cost3;cost4;cost5;cost6;flows
T250;77408;0;0;0.047132;0.046692;0.045922;0.045152;0.044382;0.043612;0.021612;GEBEITST,
T250;77408;0;0;0.047132;0.046692;0.045922;0.045152;0.044382;0.043612;0.021612;GEBEITST,
T250;77408;0;0;0.047132;0.046692;0.045922;0.045152;0.044382;0.043612;0.021612;GEBEITST,
T250;77408;0;0;0.047132;0.046692;0.045922;0.045152;0.044382;0.043612;0.021612;GEBEITST,
T250;77408;0;0;0.047132;0.046692;0.045922;0.045152;0.044382;0.043612;0.021612;GEBEITST,
T250;77408;0;0;0.047132;0.046692;0.045922;0.045152;0.044382;0.043612;0.021612;GEBEITST,
T250;77408;0;0;0.047132;0.046692;0.045922;0.045152;0.044382;0.043612;0.021612;GEBEITST,
T250;77408;0;0;0.047132;0.046692;0.045922;0.045152;0.044382;0.043612;0.021612;GEBEITST,
T250;77408;0;0;0.047132;0.046692;0.045922;0.045152;0.044382;0.043612;0.021612;GEBEITST,
T250;77408;0;0;0.047132;0.046692;0.045922;0.045152;0.044382;0.043612;0.021612;GEBEITST,
T250;77408;0;0;0.047132;0.046692;0.045922;0.045152;0.044382;0.043612;0.021612;GEBEITST,
T250;77408;0;0;0.047132;0.046692;0.045922;0.045152;0.044382;0.043612;0.021612;GEBEITST,
T250;51606;0;0;0.047132;0.046692;0.045922;0.045152;0.044382;0.043612;0.021612;GEBEITST,
T250;51606;0;0;0.047132;0.046692;0.045922;0.045152;0.044382;0.043612;0.021612;GEBEITST,
T250;51606;0;0;0.047132;0.046692;0.045922;0.045152;0.044382;0.043612;0.021612;GEBEITST,
T250;51606;0;0;0.047132;0.046692;0.045922;0.045152;0.044382;0.043612;0.021612;GEBEITST,
T250;51606;0;0;0.047132;0.046692;0.045922;0.045152;0.044382;0.043612;0.021612;GEBEITST,
T250;51606;0;0;0.047132;0.046692;0.045922;0.045152;0.044382;0.043612;0.021612;GEBEITST,
T250;51606;0;0;0.047132;0.046692;0.045922;0.045152;0.044382;0.043612;0.021612;GEBEITST,
T250;51606;0;0;0.047132;0.046692;0.045922;0.045152;0.044382;0.043612;0.021612;GEBEITST,
T250;51606;0;0;0.047132;0.046692;0.045922;0.045152;0.044382;0.043612;0.021612;GEBEITST,
T250;51606;0;0;0.047132;0.046692;0.045922;0.045152;0.044382;0.043612;0.021612;GEBEITST,
T250;51606;0;0;0.047132;0.046692;0.045922;0.045152;0.044382;0.043612;0.021612;GEBEITST,
T250;51606;0;0;0.047132;0.046692;0.045922;0.045152;0.044382;0.043612;0.021612;GEBEITST,
T250;51606;0;0;0.047132;0.046692;0.045922;0.045152;0.044382;0.043612;0.021612;GEBEITST,
K200;10218;1;0;0.415555;0.443231;0.481533;0.552411;0.628189;0.708867;0.794445;GEBEITST,
KN50;83870;0;0;0.00240998;0.00301436;0.00450773;0.0104179;0.0212855;0.0368895;0.057376;GALTEC,SDG,TTS,HDG,
KN50;182947;0;0;0.0033121;0.00292537;0.00233967;0.00198813;0.00196477;0.00227747;0.00404042;GALTEC,SDG,TTS,HDG,
K820;14860;0;0;0.00220669;0.0020148;0.00196477;0.00217226;0.00364156;0.00817559;0.0177148;GEBEITST,
K820;29931;0;0;0.00424721;0.00382354;0.00311568;0.00249087;0.00205171;0.00196477;0.00209176;GEBEITST,
K270;82114;0;0;0.00283292;0.00249087;0.00205171;0.00196477;0.00209176;0.00330309;0.00722707;CAPL,BT2,
K270;61647;0;0;0.00274359;0.00241314;0.0020148;0.00196477;0.00217226;0.00364156;0.00817559;CAPL,BT2,
K820;22706;0;0;0.00292537;0.00257191;0.00209667;0.00196477;0.00203321;0.00301436;0.00639731;GEBEITST,
K820;22706;0;0;0.00403409;0.003616;0.00292537;0.00233967;0.00198813;0.00196477;0.00227747;GEBEITST,
K820;22706;0;0;0.00424721;0.00382354;0.00311568;0.00249087;0.00205171;0.00196477;0.00209176;GEBEITST,
K820;51606;0;0;0.00414042;0.00371934;0.00301968;0.00241314;0.0020148;0.00196477;0.00217226;GEBEITST,
K820;33028;0;0;0.00382354;0.00341243;0.00274359;0.00220669;0.00196477;0.00197231;0.00257305;GEBEITST,
K820;33028;0;0;0.00403409;0.003616;0.00292537;0.00233967;0.00198813;0.00196477;0.00227747;GEBEITST,
K820;16973;0;0;0.00214847;0.00198813;0.00196477;0.00227747;0.00404042;0.00923905;0.0194514;GEBEITST,
K820;74312;0;0;0.00265631;0.00233967;0.00198813;0.00196477;0.00227747;0.00404042;0.00923905;GEBEITST,
K820;74312;0;0;0.00382354;0.00341243;0.00274359;0.00220669;0.00196477;0.00197231;0.00257305;GEBEITST,
K820;74312;0;0;0.00403409;0.003616;0.00292537;0.00233967;0.00198813;0.00196477;0.00227747;GEBEITST,
K820;74312;0;0;0.00414042;0.00371934;0.00301968;0.00241314;0.0020148;0.00196477;0.00217226;GEBEITST,
K820;74312;0;0;0.00610204;0.00566213;0.00489585;0.00414042;0.00341243;0.00274359;0.00196477;GEBEITST,
K820;18040;0;0;0.00249087;0.00220669;0.00196477;0.00197231;0.00257305;0.0050491;0.0116869;GEBEITST,
K820;30963;0;0;0.00341243;0.00301968;0.00241314;0.0020148;0.00196477;0.00217226;0.00364156;GEBEITST,
K820;30963;0;0;0.00414042;0.00371934;0.00301968;0.00241314;0.0020148;0.00196477;0.00217226;GEBEITST,
LK70;41318;0;0;0.00220669;0.0020148;0.00196477;0.00217226;0.00364156;0.00817559;0.0177148;SG3,SDG,TTS,HDG,
K570;51400;0;0;0.00227048;0.00205171;0.00196477;0.00209176;0.00330309;0.00722707;0.0160717;ZWART,
K820;4543;0;0;3.77823;3.86111;3.97301;4.17269;4.37727;4.58675;4.80112;GEBEITST,
K570;21540;0;0;0.00330309;0.00450773;0.00722707;0.0160717;0.0296055;0.0479972;0.0712798;ZWART,
K570;61680;0;0;0.00227048;0.00205171;0.00196477;0.00209176;0.00330309;0.00722707;0.0160717;ZWART,
LK30;20723;0;0;0.00424721;0.00382354;0.00311568;0.00249087;0.00205171;0.00196477;0.00209176;SG3,SDG,TTS,HDG,
LK30;29006;0;0;0.00424721;0.00382354;0.00311568;0.00249087;0.00205171;0.00196477;0.00209176;SG3,SDG,TTS,HDG,
